donor_name,donor_code,donor_sector,donor_country,acronym,funder_ref,donor_name_original,comments
Institute of Tropical Medicine,be-bce_kbo-0410057701,Other Public Sector,,,,Institute of Tropical Medicine,
Inter-American Development Bank,xi-iati-iadb,Multilateral,,,,Inter-American Development Bank,
interburns,gb-chc-1122299,International NGO,,,,interburns,
International Atomic Energy Agency,aea,Multilateral,,,,International Atomic Energy Agency,
International Atomic Energy Agency (IAEA),iaea,Multilateral,,,,International Atomic Energy Agency (IAEA),
International Centre for Diarrhoeal Disease Research,icddr,"Academic, Training and Research",,,,International Centre for Diarrhoeal Disease Research,
International Centre of Insect Physiology and Ecology,icipe,"Academic, Training and Research",,,,International Centre of Insect Physiology and Ecology,
International Criminal Police Organization,icpo,Multilateral,,,,International Criminal Police Organization,
International Development Law Organization (IDLO),xm-dac-47059,Multilateral,,,,International Development Law Organization (IDLO),
International Federation of Biosafety Associations (IFBA),ifba,International NGO,,,,International Federation of Biosafety Associations (IFBA),
International Federation of Red Cross and Red Crescent Societies,arc,International NGO,,,,International Federation of Red Cross and Red Crescent Societies,
International HIV/AIDS Alliance,gb-chc-1038860,International NGO,,,,International HIV/AIDS Alliance,
International Initiative for Impact Evaluation,US-EIN-262681792,International NGO,US,,,International Initiative for Impact Evaluation,
International Labour Organization (ILO),xm-dac-41302,Multilateral,,,,International Labour Organization (ILO),
International Medical Corps UK,GB-CHC-1093861,International NGO,GB,,imc_uk,,
International Monetary Fund (IMF),imf,Multilateral,,,,,New
International NGO,int-ngo,International NGO,,,,International NGO,
International NGO,ingo,International NGO,,,,International NGO,
International Planned Parenthood Federation,gb-chc-229476,International NGO,,,,International Planned Parenthood Federation,
International Rescue Committee UK,gb-chc-1065972,International NGO,,,,International Rescue Committee UK,
International Service,gb-chc-1069182,International NGO,,,,International Service,
International Treatment Preparedness Coalition (ITPC),xi-iati-bwco20151011,International NGO,,,,International Treatment Preparedness Coalition (ITPC),
International Vaccine Institute (IVI),ivi,"Academic, Training and Research",,,,International Vaccine Institute (IVI),
Ipas,us-ein-56-1071085,International NGO,,,,Ipas,
Ireland,ie,Government,IE,,,Ireland,
Islamic Relief Worldwide,gb-chc-328158,International NGO,,,,Islamic Relief Worldwide,
Italy,IT,Government,IT,,,Italy,
Japan,jp,Government,JP,,,Japan,
Johns Hopkins Center for Health Security,jhu-chs,"Academic, Training and Research",,,,,New
Johns Hopkins University,US-EIN-52-0595110,"Academic, Training and Research",US,,,Johns Hopkins University,
Joshua Orphan and Community Care,GB-CHC-1114727,International NGO,,,,Joshua Orphan and Community Care,
Karuna Mission Social Solidarity - KMSS,MM-MHA-1/Local/0047,National NGO,MM,,kmss,,
"King's College, London",kings-college,"Academic, Training and Research",GB,,,,New
Kingdom of Eswatini,eswatini,Other,,,,,New
Kosovo,XK,Government,XK,,,Kosovo,
LAMB Health Care Foundation,gb-chc-1101217,National NGO,,,,LAMB Health Care Foundation,
Latin America,latin-america,Region,,,,Latin America,
Lepra,gb-chc-213251,International NGO,,,,Lepra,
Light For The World Belgium,be-bce_kbo-0460240749,National NGO,,,,Light For The World Belgium,
"Lithuania, Ministry of Foreign Affairs",XM-DAC-84,Government,LT,,,"Lithuania, Ministry of Foreign Affairs",
Liverpool School of Tropical Medicine,GB-CHC-222655,"Academic, Training and Research",GB,,lstm,,
Louvain Coopération,be-bce_kbo-0422717486,National NGO,,,,Louvain Coopération,
Médecins Sans Vacances,be-bce_kbo-0448723978,National NGO,,,,Médecins Sans Vacances,
Macedonia,MK,Government,MK,,,,New
Mainline,nl-kvk-41209946,Foundation,,,,Mainline,
Malaria Consortium,gb-chc-1099776,International NGO,,,,Malaria Consortium,
Mano River Union,mru,Region,,,,Mano River Union,
Maputo,maputo,Region,,,,Maputo,
Marie Stopes International,GB-COH-1102208,International NGO,GB,,,Marie Stopes International,
Memisa,be-bce_kbo-0435563751,"Academic, Training and Research",,,,Memisa,
Middle East,middle-east,Region,,,,Middle East,
Middle East Scientific Institute for Security,mesis,"Academic, Training and Research",,,,Middle East Scientific Institute for Security,
Mifumi UK,gb-chc-1038785,International NGO,,,,Mifumi UK,
Millennium Challenge Corporation,US-18,Government,US,,,Millennium Challenge Corporation,
Ministry of Foreign Affairs of  Japan,XM-DAC-701-2,Government,JP,,mofa-jpn,,
Multilateral Investment Fund,XI-IATI-MIF,Multilateral,US,,,Multilateral Investment Fund,
"National Academies of Sciences, Engineering, and Medicine",nasem,Foundation,US,,,,New
Netherlands,nl,Government,NL,,,Netherlands,
Netherlands - Ministry of Foreign Affairs,XM-DAC-7,Government,NL,,,Netherlands - Ministry of Foreign Affairs,
Netherlands Enterprise Agency,nl-kvk-27378529,Government,NL,,,Netherlands Enterprise Agency,
New Zealand,nz,Government,NZ,,,New Zealand,
NextGen,nextgen,International NGO,,,,NextGen,
No More Epidemics Campaign,no-more-ep,Other,,,,,New
Norad - Norwegian Agency for Development Cooperation,no-brc-971277882,Government,NO,,,Norad - Norwegian Agency for Development Cooperation,
Nordic countries,nordic-countries,Region,,,,Nordic countries,
North Africa,north-africa,Region,,,,North Africa,
North Carolina State University,ncsu,"Academic, Training and Research",US,,,,New
North Korea,KP,Government,KP,,,,New
Norway,NO,Government,NO,,,,New
Not reported,NA,Not reported,Not reported,,,,New
One to One Children's Fund,gb-chc-1086159,International NGO,,,,One to One Children's Fund,
Open Philanthropy,openphilanthropy,International NGO,,,,,New
Options Consultancy Services,gb-coh-2695347,Private Sector,,,,Options Consultancy Services,
Orbis Africa,za-pbo-930040668,International NGO,,,,Orbis Africa,
Orbis Charitable Trust,gb-chc-1061352,International NGO,,,,Orbis Charitable Trust,
Orbis Ethiopia,ET-CSA-1063,National NGO,ET,,,Orbis Ethiopia,
Orbis International,us-ein-237297651,International NGO,,,,Orbis International,
Oxfam International,oxfam-int,International NGO,,,,,New
Oxfam Novib,nl-kvk-27108436,International NGO,,,,Oxfam Novib,
Oxford Policy Management,GB-COH-03122495,Private Sector,GB,,opml,,
Pacific Islands,pacific-islands,Region,,,,,New
Palladium International Ltd (UK),gb-coh-2394229,Private Sector,,,,Palladium International Ltd (UK),
Palliative Care Support Trust,mw-rg-2977,National NGO,,,,Palliative Care Support Trust,
PHASE Worldwide,gb-chc-1112734,International NGO,,,,PHASE Worldwide,
Plan International Belgium,be-bce_kbo-0425420917,National NGO,,,,Plan International Belgium,
Plan International UK,gb-coh-1364201,International NGO,,,,Plan International UK,
Plan International USA,us-irs-13-5661832,International NGO,,,,Plan International USA,
Plan Nederland,nl-kvk-41198890,International NGO,,,,Plan Nederland,
PositiveNegatives,GB-COH-08212556,Other Public Sector,GB,,posneg,,
Project Harar,gb-chc-1094272,International NGO,,,,Project Harar,
Protecting Families Against HIV/AIDS,ug-ngb-63360,National NGO,,,,Protecting Families Against HIV/AIDS,
Provinces of Gaza,gaza,Region,,,,Provinces of Gaza,
ReAct,react,International NGO,,,,ReAct,
Republic of Korea,kr-gov-021,Government,KR,,,Republic of Korea,
Rode Kruis-Vlaanderen Internationaal,be-bce_kbo-461634084,National NGO,,,,Rode Kruis-Vlaanderen Internationaal,
Rode Kruis-Vlaanderen Internationaal vzw,BE-BCE_KBO-0461634084,National NGO,BE,,,Rode Kruis-Vlaanderen Internationaal vzw,
Romania Ministry of Foreign Affairs,XM-DAC-77,Government,RO,,,Romania Ministry of Foreign Affairs,
Romania Ministry of Foreign Affairs,77-MS,Government,RO,,,Romania Ministry of Foreign Affairs,Inferred from publisher
Royal Tropical Institute,nl-kvk-33185213,International NGO,,,,Royal Tropical Institute,
Rutgers,nl-kvk-41193594,International NGO,,,,Rutgers,
Save the Children Netherlands,nl-kvk-41201463,International NGO,,,,Save the Children Netherlands,
Sehat Kahani (Community Innovation Hub),PK-SEC-0105957,Private Sector,PK,,sehatkahanicih,,
Self Help Africa,ie-chy-6663,International NGO,,,,Self Help Africa,
Send a Cow,GB-CHC-299717,International NGO,GB,,,Send a Cow,
Send a Cow Ethiopia,ET-CSA-0638,"Academic, Training and Research",ET,,sacethiopia,,
Send a Cow Kenya,KE-NCB-2180511703310709,National NGO,KE,,,Send a Cow Kenya,
Sense International,gb-chc-1076497,International NGO,,,,Sense International,
Sightsavers,gb-chc-207544,International NGO,,,,Sightsavers,
Simavi,nl-kvk-40594571,Foundation,,,,Simavi,
Simprints,gb-coh-8835431,International NGO,,,,Simprints,
Slovakia,xm-dac-69-01,Government,SK,,,Ministry of Foreign and European Affairs of the Slovak Republic,
Slovakia,xm-dac-69-02,Government,SK,,,Slovak Republic,
Slovakia,xm-dac-69-18,Government,SK,,,Slovak Republic,
Slovakia,xm-dac-69-10,Government,SK,,,Ministry of Foreign and European Affairs of the Slovak Republic,
Slovakia,XM-DAC-69-03,Government,SK,,,Ministry of Foreign and European Affairs of the Slovak Republic,
Smithsonian Institution,US,Government,US,,,,New
SNV Netherlands Development Organisation,NL-KVK-41152786,International NGO,NL,,snv,,
Sofala,sofala,Region,,,,Sofala,
South America,south-america,Region,,,,,New
South Sudan,SS,Government,SS,,,South Sudan,
Southeast Asia,southeastasia,Region,,,,Southeast Asia,
Spain,es,Government,ES,,,Spain,
Spanish Agency of International Cooperation and Development (AECID),aecid,Government,ES,,,Spanish Agency of International Cooperation and Development (AECID),
Stanford Center for International Security and Cooperation,stanford-cisc,"Academic, Training and Research",US,,,,New
Stichting fondsbeheer DGGF lokaal MKB,nl-kvk-61172863,Foundation,,,,Stichting fondsbeheer DGGF lokaal MKB,
Stichting fondsbeheer DGGF lokaal MKB,dggf,International NGO,,,NL-KVK-61172863,Stichting fondsbeheer DGGF lokaal MKB,
Stichting Health Action International,nl-kvk-41207580,Foundation,,,,Stichting Health Action International,
Stichting Red een Kind,NL-KVK-41022454,International NGO,NL,,,Stichting Red een Kind,
